frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.40828728675842285,0.1536581814289093,-0.4432353377342224,0.9993414282798768,0.4468059539794922,0.2336076945066452,0.2717801332473755,0.999320149421692,0.1933584213256836,0.2406056523323059,-0.4940566122531891,0.999940037727356,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0526637360453605,0.3001483082771301,0.3861730396747589,-0.6109676957130432,0.9772307276725768,,,,0.1238581463694572,0.4480662941932678,0.2738400399684906,-0.6313247680664062,0.919117271900177,0.48899680376052856,0.4948468506336212,0.2718632221221924,0.9992820024490356,0.365145206451416,0.5062153339385986,-0.2720623314380646,0.9995242357254028,0.805264800786972,0.5571570992469788,-0.0757692530751228,0.4827081263065338,0.47780388593673706,0.7004199624061584,-0.3686889410018921,0.9075403213500975,0.7577336877584457,0.7618317008018494,0.2333498746156692,0.6244293451309204,0.32823503017425537,0.8919598460197449,-0.2071757912635803,0.910807967185974
1,0.4126775860786438,0.1540277302265167,-0.3977426290512085,0.9992756247520448,0.4360560178756714,0.2299522012472152,0.2602454125881195,0.9993007183074952,0.18832755088806152,0.2405200451612472,-0.4898312389850616,0.999939501285553,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0542147979140281,0.29573142528533936,0.3831807076931,-0.6086140871047974,0.9760146141052246,,,,0.1290595233440399,0.44963204860687256,0.270480215549469,-0.6115228533744812,0.9223396182060242,0.4700242280960083,0.4948763847351074,0.2579692304134369,0.9992662668228148,0.3579571843147278,0.5072269439697266,-0.2581119239330292,0.9995120763778688,0.805264800786972,0.5571570992469788,-0.0757692530751228,0.5025478005409241,0.4587011933326721,0.701533317565918,-0.2856378853321075,0.9026858806610109,0.7538402378559113,0.7560392022132874,0.1536099314689636,0.6220999956130981,0.32158535718917847,0.89325350522995,-0.1143192872405052,0.9045458436012268
2,0.3762630224227905,0.154077872633934,-0.4946843981742859,0.9992383122444152,0.4169214963912964,0.2240423560142517,0.1468018442392349,0.9992119073867798,0.1790928840637207,0.2390975207090377,-0.4829449653625488,0.9999315142631532,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0581691078841686,0.27618956565856934,0.3836211562156677,-0.5426469445228577,0.9710829854011536,,,,0.1394921541213989,0.3975062370300293,0.2656411528587341,-0.4305064976215362,0.919630765914917,0.435824453830719,0.4849543273448944,0.2353548109531402,0.9992173314094543,0.32853424549102783,0.5070356726646423,-0.2356001883745193,0.9994792938232422,0.7687394917011261,0.4761022627353668,-0.0168135892599821,0.5265091061592102,0.43129462003707886,0.7015364170074463,-0.3074782490730285,0.9067572951316832,0.7735781073570251,0.679330587387085,0.3556847274303436,0.6334774494171143,0.30731338262557983,0.8954690098762512,-0.2389606088399887,0.9087340831756592
3,0.37647581100463867,0.1539570689201355,-0.4463583827018738,0.99918931722641,0.41367149353027344,0.2228551805019378,0.1696770340204239,0.999186873435974,0.17095333337783813,0.2390739172697067,-0.4824388921260834,0.9999303221702576,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.061454452574253,0.27194732427597046,0.3836191296577453,-0.5095928311347961,0.9694322347640992,,,,0.1526071429252624,0.3914639949798584,0.2683962285518646,-0.3570232391357422,0.9216008186340332,0.42113929986953735,0.4835274517536163,0.2209968417882919,0.9992223381996156,0.32092851400375366,0.5070016980171204,-0.2211228460073471,0.9994819760322572,0.7437311708927155,0.4692617058753967,-0.0951259285211563,0.5555381178855896,0.41443097591400146,0.701725423336029,-0.2321677207946777,0.9098963141441344,0.7638647854328156,0.6739875078201294,0.185521200299263,0.6486464142799377,0.29382556676864624,0.896522045135498,-0.1038189008831977,0.9123297929763794
4,0.3636968731880188,0.1568267047405243,-0.3913887441158294,0.9991220831871032,0.3874974250793457,0.2234483510255813,0.2025901675224304,0.9991815686225892,0.1661663055419922,0.2397181540727615,-0.4506329298019409,0.999927818775177,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0685207024216651,0.270605206489563,0.3782825171947479,-0.4986904561519623,0.9687554240226746,,,,0.1603735089302063,0.37724798917770386,0.25953009724617,-0.3708832859992981,0.9218618869781494,0.41435128450393677,0.4796485006809234,0.2099279016256332,0.999248206615448,0.3295883536338806,0.506345272064209,-0.2100125104188919,0.9994967579841614,0.6814121007919312,0.4034841358661651,-0.1890668720006942,0.5907189249992371,0.40420055389404297,0.7031451463699341,-0.2309748083353042,0.9166045188903807,0.7820509970188141,0.5946714878082275,-0.0562655851244926,0.672928512096405,0.2810342311859131,0.8984422087669373,-0.1285597383975982,0.9188858866691588
5,0.3679432272911072,0.1570269465446472,-0.3359132707118988,0.9990457892417908,0.3867902159690857,0.2244792133569717,0.2295324355363845,0.999158263206482,0.1629123091697693,0.2392419427633285,-0.421884149312973,0.9999269247055054,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0725142806768417,0.2678834795951843,0.3708185851573944,-0.3969646394252777,0.9693019986152648,,,,0.1617381274700164,0.3782661557197571,0.2612361907958984,-0.1754941344261169,0.922359824180603,0.4091532230377197,0.4774878323078155,0.2082700878381729,0.9992611408233644,0.325675904750824,0.5057308673858643,-0.2083005011081695,0.999505877494812,0.6658295094966888,0.3988641500473022,-0.208689272403717,0.6194053888320923,0.3968260884284973,0.7031527757644653,-0.2523829340934753,0.9224705100059508,0.7769634425640107,0.5856454968452454,-0.1120529100298881,0.6909629106521606,0.2805413007736206,0.8988029956817627,-0.138824000954628,0.9237782955169678
6,0.3619864583015442,0.1570998281240463,-0.385529100894928,0.9989725351333618,0.3890964984893799,0.2244569957256317,0.1990602314472198,0.9991240501403807,0.16673588752746582,0.2396744638681411,-0.4193234443664551,0.9999294877052308,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0675199478864669,0.2566937208175659,0.3740948438644409,-0.514621913433075,0.9700842499732972,,,,0.15159672498703,0.36759471893310547,0.2669720947742462,-0.4962751269340515,0.9259436130523682,0.41833943128585815,0.4680759906768799,0.1951310187578201,0.9992630481719972,0.3262708783149719,0.5034000873565674,-0.1950919181108474,0.9995201230049132,0.6149168312549591,0.3498029708862304,-0.4132124781608581,0.6512462496757507,0.3887596130371094,0.7020457983016968,-0.258233904838562,0.9291357398033142,0.7624687552452087,0.5164592266082764,-0.4043906629085541,0.7155892848968506,0.27923905849456787,0.8983582258224487,-0.1459009200334549,0.930172562599182
7,0.36434870958328247,0.1564508229494094,-0.3628917932510376,0.9989235401153564,0.3827832341194153,0.2223337292671203,0.2007444500923156,0.9991098642349244,0.16617119312286377,0.2397806644439697,-0.4369226992130279,0.9999318718910216,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.063772477209568,0.2494078278541565,0.375691145658493,-0.5115308165550232,0.9708360433578492,,,,0.1452921777963638,0.36223578453063965,0.2700592875480652,-0.4350495934486389,0.928128719329834,0.4154738783836365,0.4651890695095062,0.1968663483858108,0.9992740750312804,0.32637953758239746,0.5022997260093689,-0.1968002468347549,0.9995363354682922,0.6067041158676147,0.3477892577648163,-0.3769508600234985,0.6810484528541565,0.3871459364891052,0.7019335031509399,-0.2593061625957489,0.9356112480163574,0.7528062760829926,0.5111157298088074,-0.3312737345695495,0.7396688461303711,0.27666163444519043,0.8976612091064453,-0.1726110577583313,0.936530828475952
8,0.37488383054733276,0.1559649109840393,-0.3040778934955597,0.998938262462616,0.39138567447662354,0.2216851115226745,0.2026455402374267,0.9991353750228882,0.16815274953842163,0.2425944656133651,-0.4437278211116791,0.9999355673789978,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0598557293415069,0.25141626596450806,0.3838030397891998,-0.378079205751419,0.9711900949478148,,,,0.1358643174171447,0.36506837606430054,0.2675724625587463,-0.0892159715294838,0.9250012040138244,0.4194205403327942,0.4567544758319855,0.2001070827245712,0.9993000626564026,0.3268231749534607,0.4995677471160888,-0.2000792920589447,0.9995603561401368,0.586459219455719,0.3124612867832184,-0.2545973062515259,0.7017124891281128,0.38545048236846924,0.6998773217201233,-0.2478661388158798,0.9415549635887146,0.7240436375141144,0.4812687039375305,-0.1550152450799942,0.7571799159049988,0.27170997858047485,0.8950332999229431,-0.1727758795022964,0.9421322345733644
9,0.376523494720459,0.1557303965091705,-0.3429693579673767,0.9988328814506532,0.39825087785720825,0.2216671854257583,0.1767461448907852,0.9991523027420044,0.16955548524856567,0.2454573959112167,-0.4618742167949676,0.999937117099762,0.6421642899513245,0.19306181371212,-0.0424469634890556,0.0576593577861785,0.2472771406173706,0.3891167640686035,-0.436947762966156,0.9700452089309692,,,,0.1334035843610763,0.366571843624115,0.2688379287719726,-0.2320556789636612,0.9199385046958924,0.42446404695510864,0.4529687166213989,0.2026133090257644,0.9993231296539308,0.33095788955688477,0.498930811882019,-0.2026079595088958,0.9995784759521484,0.5877014398574829,0.312797337770462,-0.3044421970844269,0.7223820090293884,0.39084339141845703,0.6986797451972961,-0.2540149092674255,0.946430802345276,0.7187286615371704,0.4831106960773468,-0.1762843281030655,0.7735292911529541,0.2770610451698303,0.8934623003005981,-0.1593993455171585,0.9466568231582642
