frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.31819507479667664,0.14675749838352203,-0.30691030621528625,0.9994893670082092,0.2873133420944214,0.22461463510990143,0.27810412645339966,0.9995946884155273,0.16131043434143066,0.23392197489738464,-0.4955225884914398,0.9998436570167542,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.12105357646942139,0.31643468141555786,0.3301404118537903,-0.6934369206428528,0.9927445650100708,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.33165243268013,0.3945014178752899,0.2183418571949005,-0.6593645215034485,0.9856488108634949,0.34674349427223206,0.48804008960723877,0.2583361566066742,0.9999433159828186,0.2517440915107727,0.5070697665214539,-0.2587154805660248,0.9999555349349976,0.5971105694770813,0.573820948600769,0.13383321464061737,0.7220495343208313,0.3138035535812378,0.6987060308456421,-0.2529766857624054,0.9705671668052673,0.711714506149292,0.7538657784461975,0.2926061749458313,0.8328860402107239,0.286349892616272,0.8931759595870972,-0.18516652286052704,0.9727401733398438
1,0.30370667576789856,0.14738990366458893,-0.20958104729652405,0.999530017375946,0.27925625443458557,0.21755029261112213,0.26694416999816895,0.9996078014373779,0.15315385162830353,0.2354903221130371,-0.405212938785553,0.9998535513877869,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.12411866337060928,0.2951735854148865,0.3314475417137146,-0.40677788853645325,0.993263304233551,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.317588210105896,0.3666306734085083,0.2244005799293518,-0.0922953262925148,0.9856686592102051,0.34653812646865845,0.4753930866718292,0.22761715948581696,0.9999423027038574,0.24836677312850952,0.5077956914901733,-0.2281741499900818,0.999954879283905,0.6079124808311462,0.5010454058647156,-0.07550644874572754,0.7491557002067566,0.308805912733078,0.6989763379096985,-0.22210098803043365,0.9734126329421997,0.757341742515564,0.6814533472061157,0.08409101516008377,0.8491822481155396,0.27203238010406494,0.892514169216156,-0.11899023503065109,0.9753477573394775
2,0.3094511926174164,0.15728554129600525,-0.16052818298339844,0.999573290348053,0.2758180499076843,0.21565771102905273,0.30553027987480164,0.9996393322944641,0.14992493391036987,0.2355598360300064,-0.3897417187690735,0.9998664259910583,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.13455569744110107,0.27181190252304077,0.33261436223983765,-0.47522467374801636,0.9937404990196228,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.316889226436615,0.3465747535228729,0.22628645598888397,-0.2855229079723358,0.9861295223236084,0.3417065143585205,0.47161728143692017,0.2271348237991333,0.9999448657035828,0.2520256042480469,0.5079872608184814,-0.22763775289058685,0.999957263469696,0.5944038033485413,0.4422794282436371,-0.08263043314218521,0.7738157510757446,0.3054259717464447,0.6982435584068298,-0.2674349248409271,0.976030170917511,0.7391761541366577,0.6300050616264343,0.13720616698265076,0.8638060688972473,0.2642354369163513,0.8946205377578735,-0.19294209778308868,0.9777558445930481
3,0.3114832937717438,0.15920697152614594,-0.17773602902889252,0.9995772242546082,0.29026558995246887,0.20958109200000763,0.30367952585220337,0.9996606707572937,0.14911188185214996,0.23364591598510742,-0.30290645360946655,0.9998759627342224,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.1460249423980713,0.25244078040122986,0.3343501389026642,-0.29558801651000977,0.9933034777641296,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.321397066116333,0.33875221014022827,0.22703111171722412,-0.028975987806916237,0.9851898550987244,0.3497423231601715,0.4545743763446808,0.20789262652397156,0.999941349029541,0.25913888216018677,0.4995609223842621,-0.2084529548883438,0.9999562501907349,0.5882991552352905,0.3932267427444458,-0.12086482346057892,0.7935590744018555,0.3080861270427704,0.6947655081748962,-0.2651544511318207,0.9781953692436218,0.7247050404548645,0.5829401612281799,0.11107617616653442,0.8740466833114624,0.2610989511013031,0.8920971751213074,-0.18692173063755035,0.9797391295433044
4,0.32796430587768555,0.16203942894935608,-0.0647691935300827,0.9995886087417603,0.3011036217212677,0.21198700368404388,0.42086362838745117,0.999689519405365,0.15376268327236176,0.23294995725154877,-0.3161821961402893,0.9998863339424133,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.1580338478088379,0.26116713881492615,0.3365066647529602,-0.43638259172439575,0.9935159683227539,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.3192503750324249,0.3466053605079651,0.2276419997215271,-0.2477719485759735,0.9836139678955078,0.3663623034954071,0.4512293040752411,0.2183254361152649,0.9999447464942932,0.2721610963344574,0.4964180588722229,-0.21886184811592102,0.999958872795105,0.5954119563102722,0.36584797501564026,-0.29592764377593994,0.8127897381782532,0.31886592507362366,0.69146728515625,-0.321266770362854,0.9802169799804688,0.7199299335479736,0.543904721736908,-0.18315497040748596,0.8850787878036499,0.2654893100261688,0.8906027674674988,-0.3248398005962372,0.9816403985023499
5,0.3351480960845947,0.1612575501203537,-0.08112415671348572,0.9995971322059631,0.3046569526195526,0.21365568041801453,0.39403295516967773,0.9997135996818542,0.15560749173164368,0.23241972923278809,-0.30145370960235596,0.999895453453064,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.16677138209342957,0.26304125785827637,0.3372591733932495,-0.38069385290145874,0.9936837553977966,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.3085712492465973,0.35015004873275757,0.22732242941856384,-0.13488046824932098,0.9823523163795471,0.37428876757621765,0.4498958885669708,0.22158999741077423,0.9999476671218872,0.27856433391571045,0.4954487383365631,-0.22213251888751984,0.9999613165855408,0.5970163941383362,0.3623252511024475,-0.24469423294067383,0.8296977877616882,0.32571080327033997,0.689846932888031,-0.3209683299064636,0.9820317029953003,0.7241513133049011,0.5438005924224854,-0.055771853774785995,0.8945096135139465,0.26575320959091187,0.8888565897941589,-0.25998786091804504,0.9833558201789856
6,0.35129716992378235,0.16168667376041412,-0.113424152135849,0.9995673298835754,0.3244609832763672,0.21435661613941193,0.4323440194129944,0.9997363090515137,0.159931018948555,0.233201801776886,-0.29008275270462036,0.9999016523361206,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.16086745262145996,0.2608036696910858,0.34250015020370483,-0.4209447205066681,0.992028534412384,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.28730079531669617,0.36140263080596924,0.22899845242500305,-0.257282018661499,0.971061646938324,0.38742518424987793,0.43816468119621277,0.22873534262180328,0.9999500513076782,0.2876613438129425,0.4895259141921997,-0.2293541133403778,0.9999630451202393,0.5888609886169434,0.3351101875305176,-0.4805399179458618,0.8425933718681335,0.3377628028392792,0.6850298047065735,-0.37232914566993713,0.983234167098999,0.7264142632484436,0.5189625024795532,-0.3932547867298126,0.8979582190513611,0.27016377449035645,0.8909967541694641,-0.39550289511680603,0.9845779538154602
7,0.40565696358680725,0.16187913715839386,-0.278132826089859,0.9995749592781067,0.3866712749004364,0.20948238670825958,0.36675843596458435,0.9997578263282776,0.17565487325191498,0.23728446662425995,-0.3520149290561676,0.9999077916145325,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.1527067869901657,0.2741670310497284,0.34821411967277527,-0.49358615279197693,0.990924060344696,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.2731491029262543,0.394090473651886,0.23091718554496765,-0.36751818656921387,0.9670601487159729,0.42485374212265015,0.4260573983192444,0.21747487783432007,0.9999452233314514,0.3152759075164795,0.4784161150455475,-0.2182500809431076,0.9999603033065796,0.5755131840705872,0.3031347095966339,-0.6559145450592041,0.8539883494377136,0.36700376868247986,0.6805410385131836,-0.3830271065235138,0.9840671420097351,0.7064363360404968,0.4965803921222687,-0.6330078840255737,0.8996109366416931,0.28172436356544495,0.893291711807251,-0.3826853334903717,0.9854050874710083
8,0.43018046021461487,0.16611924767494202,-0.3537987470626831,0.999592661857605,0.4131432771682739,0.2005997896194458,0.32502126693725586,0.9997773766517639,0.18918564915657043,0.2388353794813156,-0.394624263048172,0.9999139308929443,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.15201377868652344,0.2864654064178467,0.3516819477081299,-0.5220174789428711,0.9902675747871399,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.2648778259754181,0.41916000843048096,0.23709283769130707,-0.3637063503265381,0.9634150862693787,0.45338237285614014,0.42131227254867554,0.23305584490299225,0.9999448657035828,0.3386431038379669,0.4755347669124603,-0.23379939794540405,0.9999606013298035,0.5868228077888489,0.30145829916000366,-0.5884546637535095,0.8668947219848633,0.3938978314399719,0.678072988986969,-0.42156559228897095,0.9854639768600464,0.7206991910934448,0.4955623745918274,-0.39906972646713257,0.9051914215087891,0.2936403453350067,0.8969500660896301,-0.46717363595962524,0.9866836667060852
9,0.46287214756011963,0.17472624778747559,-0.36557215452194214,0.9994871616363525,0.4407444894313812,0.19755129516124725,0.31428858637809753,0.9997929334640503,0.20102337002754211,0.2393953502178192,-0.43145135045051575,0.9999145269393921,0.6884503364562988,0.4599025547504425,-0.1142452284693718,0.15104185044765472,0.3002409040927887,0.35336801409721375,-0.5331904888153076,0.9891105890274048,0.758601725101471,0.6107678413391113,-0.3642711043357849,0.2558433413505554,0.44436612725257874,0.2434554249048233,-0.27660098671913147,0.9552933573722839,0.477498322725296,0.42163196206092834,0.25260862708091736,0.9999428987503052,0.3563466966152191,0.473302960395813,-0.25349241495132446,0.9999586343765259,0.6044747829437256,0.2976168692111969,-0.5773624777793884,0.8770323395729065,0.41940367221832275,0.6780046820640564,-0.42981693148612976,0.9866155385971069,0.7285317182540894,0.5023697018623352,-0.41397014260292053,0.9094207286834717,0.3040392994880676,0.897362232208252,-0.498675137758255,0.987738847732544
