frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.5483313798904419,0.21961918473243713,-0.3308643400669098,0.999168872833252,0.4948873519897461,0.29918578267097473,-0.07712043821811676,0.9999184608459473,0.3524501323699951,0.3333856463432312,-0.45497286319732666,0.9999172687530518,0.594436764717102,0.3942047655582428,0.01981622353196144,0.48942068219184875,0.2622741758823395,0.49755313992500305,-0.5107261538505554,0.9651697278022766,0.7092738747596741,0.4891826808452606,-0.029754657298326492,0.5656996965408325,0.2712843716144562,0.6495488882064819,-0.5164985060691833,0.8849923610687256,0.3049357533454895,0.5527513027191162,0.1473734825849533,0.9997420310974121,0.18710297346115112,0.5707778334617615,-0.1475818157196045,0.9997670650482178,0.5050947666168213,0.6642721891403198,-0.04250828176736832,0.550385057926178,0.41111794114112854,0.6712137460708618,-0.29747533798217773,0.885525643825531,0.734442412853241,0.8513604998588562,-0.11581091582775116,0.5890454649925232,0.2570478022098541,0.8939239382743835,-0.18942323327064514,0.8432127237319946
1,0.5354138016700745,0.2170148342847824,-0.31453990936279297,0.9992283582687378,0.5147563815116882,0.30318573117256165,-0.07609792053699493,0.9999253153800964,0.35733315348625183,0.31840917468070984,-0.39631128311157227,0.9999178647994995,0.594436764717102,0.3942047655582428,0.01981622353196144,0.5259368419647217,0.26919981837272644,0.49470582604408264,-0.40048182010650635,0.9584295749664307,0.6866341233253479,0.4458412826061249,-0.09036807715892792,0.5961729288101196,0.3276701867580414,0.5737380385398865,-0.3389950394630432,0.8617532849311829,0.30938005447387695,0.562201738357544,0.14582940936088562,0.999748945236206,0.19595427811145782,0.5724807977676392,-0.1460702121257782,0.9997661113739014,0.5254110097885132,0.6607203483581543,-0.060281530022621155,0.5880115032196045,0.4206141531467438,0.6845141053199768,-0.3053654730319977,0.8961628675460815,0.7236002683639526,0.8579046130180359,-0.06937085092067719,0.6179723143577576,0.2627539038658142,0.9055126309394836,-0.15110713243484497,0.854542076587677
2,0.5274487733840942,0.21886253356933594,-0.30205079913139343,0.9992938041687012,0.5126609206199646,0.3033950626850128,-0.07281530648469925,0.9999319314956665,0.36423370242118835,0.305087149143219,-0.39918792247772217,0.9999229311943054,0.6006768941879272,0.3835766911506653,0.029406145215034485,0.5645015239715576,0.2870625853538513,0.49231356382369995,-0.44263896346092224,0.9594666361808777,0.6913439631462097,0.43971213698387146,-0.008353621698915958,0.6308922171592712,0.3584730923175812,0.5232192277908325,-0.4134019613265991,0.8694599866867065,0.3096306025981903,0.5574167370796204,0.14640985429286957,0.9997645616531372,0.20252297818660736,0.5628935694694519,-0.1466328501701355,0.9997783899307251,0.531112790107727,0.6601412296295166,-0.06939711421728134,0.6254501938819885,0.4203754663467407,0.6857477426528931,-0.30915752053260803,0.906166672706604,0.7186340093612671,0.8614539504051208,-0.061410337686538696,0.6484003067016602,0.27111583948135376,0.9054771065711975,-0.15310999751091003,0.8664408922195435
3,0.598014235496521,0.2206350862979889,-0.2609878182411194,0.9993489384651184,0.5888761878013611,0.2886556386947632,-0.05354660749435425,0.9999369382858276,0.4091153144836426,0.2925663888454437,-0.2956455647945404,0.9999260306358337,0.6702616810798645,0.3599262237548828,0.059005364775657654,0.5925421714782715,0.2667514681816101,0.39297300577163696,-0.2529684901237488,0.9517484903335571,0.7218446731567383,0.41628792881965637,0.02543840929865837,0.6404481530189514,0.15419574081897736,0.4070407450199127,-0.18568752706050873,0.8505626320838928,0.3726365864276886,0.570611834526062,0.1368374526500702,0.9997732639312744,0.2727733552455902,0.5814346671104431,-0.13720093667507172,0.9997857213020325,0.5768710970878601,0.6624218225479126,0.04354240745306015,0.6523506045341492,0.5160037875175476,0.6827014684677124,-0.27991023659706116,0.9126827716827393,0.7356168627738953,0.8357275128364563,0.03394213318824768,0.6664847135543823,0.34077009558677673,0.8914253115653992,-0.06451866775751114,0.8644155263900757
4,0.644259512424469,0.21321392059326172,-0.2794824242591858,0.9993875026702881,0.6436793208122253,0.2914750277996063,0.001199388294480741,0.999937117099762,0.44087526202201843,0.26628363132476807,-0.2614239752292633,0.9999290704727173,0.6528422236442566,0.4121587872505188,-0.05519866570830345,0.5790864825248718,0.29120853543281555,0.21621660888195038,-0.16283036768436432,0.9466859102249146,0.5373713374137878,0.4356979429721832,-0.4246915876865387,0.6200971603393555,0.21184103190898895,0.25164106488227844,-0.024455325677990913,0.8522109389305115,0.4185876250267029,0.6032373309135437,0.15212513506412506,0.9996932148933411,0.3299373388290405,0.6036255359649658,-0.1525711566209793,0.9997498393058777,0.62636798620224,0.6890223026275635,0.08788537979125977,0.6331737041473389,0.5546697378158569,0.7825169563293457,-0.3349722623825073,0.9034315943717957,0.7460674047470093,0.8843657970428467,-0.21947546303272247,0.6615362763404846,0.3851807415485382,0.9321809411048889,-0.19419130682945251,0.8268260359764099
5,0.6607879400253296,0.21328657865524292,-0.2549392282962799,0.9994298219680786,0.6736619472503662,0.29365622997283936,0.054506752640008926,0.9999369978904724,0.4669189453125,0.2482326626777649,-0.22353129088878632,0.9999319314956665,0.6527748107910156,0.41433414816856384,-0.045063648372888565,0.5602409243583679,0.29116055369377136,0.2088509351015091,-0.2117946892976761,0.9422483444213867,0.5534722805023193,0.42333078384399414,-0.43791863322257996,0.6021057367324829,0.20944319665431976,0.2509947717189789,-0.19798797369003296,0.8575350046157837,0.4439859986305237,0.6109433174133301,0.15806493163108826,0.99961918592453,0.3441421091556549,0.6124767661094666,-0.15856388211250305,0.9997019171714783,0.6548484563827515,0.6835834980010986,0.008900769054889679,0.6200166940689087,0.5759242177009583,0.7768290638923645,-0.44449561834335327,0.8879764676094055,0.7385322451591492,0.883436918258667,-0.512370228767395,0.6666435599327087,0.3974858522415161,0.9327367544174194,-0.31763267517089844,0.7821483016014099
6,0.5562869906425476,0.19990228116512299,-0.23684599995613098,0.9990302324295044,0.6728711128234863,0.33414047956466675,-0.029780356213450432,0.9995169043540955,0.5356830358505249,0.27737313508987427,-0.13459286093711853,0.9997946619987488,0.5053262710571289,0.4319254159927368,-0.08279485255479813,0.5096678137779236,0.3427984416484833,0.24729543924331665,-0.1780456006526947,0.9221435189247131,0.3966958522796631,0.4423362612724304,-0.2875766456127167,0.5469636917114258,0.41829732060432434,0.19216415286064148,-0.2365124225616455,0.8567168712615967,0.5498483180999756,0.6567165851593018,0.06808105856180191,0.9975525736808777,0.4485907256603241,0.6489903926849365,-0.06855347007513046,0.9990158677101135,0.6180728673934937,0.8193596005439758,0.33234861493110657,0.5653964877128601,0.5734186768531799,0.8035248517990112,-0.200463205575943,0.8228114247322083,0.6001423001289368,0.9294606447219849,0.46887651085853577,0.6186527609825134,0.5380142331123352,0.9739499092102051,-0.03456208109855652,0.7217828631401062
7,0.6005485653877258,0.1942092627286911,-0.28445151448249817,0.9989092350006104,0.6174002885818481,0.325426310300827,0.19174347817897797,0.9995338320732117,0.5788232088088989,0.2761329412460327,-0.2849692106246948,0.9997881054878235,0.3331696610569561,0.45628135468243264,-0.13809473296395747,0.46655017137527466,0.3644977807998657,0.27694329619407654,-0.2968815863132477,0.8803089261054993,0.41281282901763916,0.48991841077804565,-0.20484378933906555,0.5090494155883789,0.3674657940864563,0.4380309283733368,-0.27005937695503235,0.8191049695014954,0.5623512864112854,0.6618127822875977,0.13559597730636597,0.9977653622627258,0.5179204344749451,0.6631222367286682,-0.1359560787677765,0.9990932941436768,0.6538169980049133,0.8469141125679016,0.6881977319717407,0.5285364985466003,0.6552179455757141,0.8298861980438232,0.009583885781466961,0.7858427166938782,0.6261371374130249,0.9181894063949585,1.020137071609497,0.5875120759010315,0.5706951022148132,0.9276217222213745,0.38924694061279297,0.6944997906684875
8,0.6601229310035706,0.1828208863735199,-0.21939580142498016,0.9985173344612122,0.6015469431877136,0.3209754526615143,0.3536890149116516,0.9995546936988831,0.5589476823806763,0.27849751710891724,-0.38205283880233765,0.9997519850730896,0.18265654671593287,0.47778251873205524,-0.1851700632627867,0.4219764769077301,0.35668399930000305,0.30409765243530273,-0.65217125415802,0.8383232355117798,0.48469333341996657,0.5374335989760093,-0.1408902547052277,0.4653256833553314,0.40375402569770813,0.4263920485973358,-0.6387446522712708,0.7610276341438293,0.5598251819610596,0.6692573428153992,0.27212512493133545,0.997957170009613,0.557755708694458,0.6753978729248047,-0.27266934514045715,0.9991546273231506,0.6980258843017142,0.8314063870890593,0.9488340991593298,0.48073288798332214,0.6558859348297119,0.8168740272521973,-0.22207513451576233,0.7591325640678406,0.6098392009735107,0.9109158515930176,0.9982120990753174,0.551097571849823,0.5756125450134277,0.9146968126296997,-0.24867525696754456,0.6895402669906616
9,0.5647844672203064,0.29484400153160095,-0.357217013835907,0.9913796186447144,0.5593821406364441,0.3443542718887329,-0.11530714482069016,0.999507486820221,0.542798638343811,0.38610100746154785,-0.3448409140110016,0.9993703365325928,0.052692752658581817,0.49656135010962027,-0.2244626850339453,0.3872237503528595,0.35583001375198364,0.43633654713630676,-0.48053666949272156,0.7627807259559631,0.5468507255553603,0.5793082878377478,-0.07686405188457479,0.4369332194328308,0.43358924984931946,0.429634690284729,-0.5581454634666443,0.691291332244873,0.5376380681991577,0.6935258507728577,0.13293221592903137,0.9980708360671997,0.5703404545783997,0.7124584913253784,-0.13409356772899628,0.9991605877876282,0.7243676890645006,0.8125661463008974,1.1243992620983199,0.4344027042388916,0.6569079160690308,0.852192759513855,0.027575088664889336,0.7081668972969055,0.5484254360198975,0.8868023157119751,0.5793405175209045,0.5118403434753418,0.5979302525520325,0.904121994972229,-0.1688363403081894,0.6575515270233154
