frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.6420746445655823,0.1422266960144043,-0.3574298024177551,0.9945266842842102,0.5616568326950073,0.22447152435779572,0.5055039525032043,0.9996138215065002,0.3066219687461853,0.22291259467601776,-0.8520306944847107,0.9998621940612793,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.08475687354803085,0.32291099429130554,0.3674581050872803,-1.073306918144226,0.9916843175888062,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.17251044511795044,0.6832091808319092,0.35960543155670166,-1.0718470811843872,0.9768171906471252,0.6150366067886353,0.46623170375823975,0.4118547737598419,0.9990609288215637,0.4302453398704529,0.48894694447517395,-0.41223931312561035,0.9995322227478027,1.0282281637191772,0.4891049563884735,-0.1563301533460617,0.896145761013031,0.5690920948982239,0.676449716091156,-0.5531423687934875,0.9889206290245056,0.9597791433334351,0.7070291042327881,0.10884305834770203,0.8259819149971008,0.4678744077682495,0.8991881012916565,-0.4772278666496277,0.9879885911941528
1,0.6420544385910034,0.13670679926872253,-0.1399916112422943,0.9949772953987122,0.5357707738876343,0.22242136299610138,0.5775766968727112,0.9996418952941895,0.3226281702518463,0.22329869866371155,-0.6978940367698669,0.9998713135719299,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.08300609886646271,0.347988098859787,0.3655579686164856,-0.7946468591690063,0.9914550185203552,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.16897542774677277,0.6991487741470337,0.36031174659729004,-0.578652024269104,0.9744368195533752,0.6127939820289612,0.46623194217681885,0.40195009112358093,0.9991334080696106,0.4292985498905182,0.4874236285686493,-0.40249887108802795,0.999566376209259,1.0602374076843262,0.5042471289634705,-0.15072332322597504,0.883437991142273,0.5688223838806152,0.6764714121818542,-0.5168604254722595,0.9881688952445984,0.9598670601844788,0.7068934440612793,0.009750786237418652,0.8018755912780762,0.4677717983722687,0.8999869227409363,-0.6075447201728821,0.986961305141449
2,0.6367970108985901,0.13643468916416168,-0.02966112643480301,0.9954320192337036,0.5113431811332703,0.21617300808429718,0.6319231390953064,0.9996683597564697,0.3355129063129425,0.22286102175712585,-0.6591517329216003,0.9998793601989746,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.0843886286020279,0.3770272731781006,0.36442816257476807,-0.754460334777832,0.9911853075027466,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.17050433158874512,0.7043620347976685,0.36086001992225647,-0.48861998319625854,0.9707003831863403,0.601025402545929,0.46571409702301025,0.40037909150123596,0.9991905689239502,0.42225348949432373,0.48467931151390076,-0.4010040760040283,0.9995908737182617,1.0570374727249146,0.5102583765983582,0.031056081876158714,0.8593944907188416,0.5641964077949524,0.6763696670532227,-0.4550880789756775,0.9866455793380737,0.9566860795021057,0.7056577205657959,0.22117041051387787,0.764115035533905,0.46295633912086487,0.9000954627990723,-0.603566586971283,0.9849750995635986
3,0.6485447287559509,0.1364271491765976,-0.11990804225206375,0.9957960844039917,0.5166545510292053,0.21524620056152344,0.6160037517547607,0.9996894001960754,0.34581413865089417,0.2239411622285843,-0.6869855523109436,0.9998846054077148,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.08306144922971725,0.37953436374664307,0.36595961451530457,-0.7641128897666931,0.9904757142066956,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.16933879256248474,0.7143779993057251,0.3610943853855133,-0.48469167947769165,0.9662503004074097,0.6110988855361938,0.46551358699798584,0.40708503127098083,0.9992420673370361,0.43184956908226013,0.4847773313522339,-0.40773290395736694,0.9996128082275391,1.077394962310791,0.5103978514671326,-0.006530940067023039,0.8439091444015503,0.5728964805603027,0.6763797402381897,-0.4644335210323334,0.9856012463569641,0.9718334674835205,0.7056118249893188,0.19176532328128815,0.7402116060256958,0.47060897946357727,0.9008519053459167,-0.6167414784431458,0.9839625358581543
4,0.6512778997421265,0.13616342842578888,-0.09387927502393723,0.9961768984794617,0.519130289554596,0.21447254717350006,0.6353441476821899,0.9997130632400513,0.34698933362960815,0.22450098395347595,-0.6751565337181091,0.9998921751976013,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.08388065546751022,0.3833324611186981,0.36608731746673584,-0.7689294219017029,0.9902322888374329,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.17323781549930573,0.7166271805763245,0.3614824414253235,-0.5219857096672058,0.9641562104225159,0.6114504337310791,0.4655657708644867,0.40914568305015564,0.9992963075637817,0.4336446225643158,0.4847627282142639,-0.40982580184936523,0.9996373653411865,1.08321213722229,0.5131778717041016,-0.025601733475923538,0.8323429226875305,0.5752741098403931,0.6762897968292236,-0.4786405861377716,0.9850748777389526,0.9752373695373535,0.7068108916282654,0.10231547057628632,0.7202015519142151,0.47253677248954773,0.9014406204223633,-0.6973450779914856,0.9831448793411255
6,0.4097451865673065,0.1319570690393448,-0.04613141715526581,0.9962546229362488,0.3425357937812805,0.21227994561195374,0.4526405930519104,0.9997230768203735,0.22148025035858154,0.2123294472694397,-0.33911049365997314,0.9998990893363953,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.09027361869812012,0.24301448464393616,0.32568615674972534,-0.5500656962394714,0.9882223606109619,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.1770770251750946,0.44423580169677734,0.329505980014801,-0.6510113477706909,0.9648909568786621,0.39305204153060913,0.452674001455307,0.2607051134109497,0.9993518590927124,0.2848190367221832,0.46896445751190186,-0.26152876019477844,0.9996635317802429,0.7132623791694641,0.4493550658226013,-0.2661488354206085,0.8485404253005981,0.38649696111679077,0.676321804523468,-0.3895699083805084,0.9861595630645752,0.7784861922264099,0.6729036569595337,0.06675859540700912,0.7474003434181213,0.3378276824951172,0.9025548100471497,-0.40274038910865784,0.984513521194458
7,0.40469488501548767,0.1320839673280716,-0.06770597398281097,0.9965710639953613,0.38453567028045654,0.2126624584197998,0.3892713487148285,0.9997403621673584,0.20994669198989868,0.2116643190383911,-0.22169731557369232,0.9999070763587952,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.10598289966583252,0.20300714671611786,0.3321996331214905,-0.4468328654766083,0.9877179265022278,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.18725384771823883,0.3971928656101227,0.3291044235229492,-0.6172306537628174,0.9666398763656616,0.39875951409339905,0.44922757148742676,0.208396777510643,0.9994072318077087,0.2859537601470947,0.4685335159301758,-0.2093178629875183,0.9996919631958008,0.6958229541778564,0.4210316240787506,-0.2620794177055359,0.8625358939170837,0.36756688356399536,0.6763285398483276,-0.23834306001663208,0.9871804118156433,0.7618384957313538,0.6458470225334167,0.010138829238712788,0.7705039978027344,0.3223983347415924,0.908870279788971,-0.2753666639328003,0.9857336282730103
8,0.4067102074623108,0.13334839046001434,-0.08583477139472961,0.9968689680099487,0.3948916792869568,0.21273253858089447,0.37611666321754456,0.9997610449790955,0.20937630534172058,0.21195055544376373,-0.23728500306606293,0.9999138116836548,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.13801626861095428,0.1961127668619156,0.3360210657119751,-0.4781510531902313,0.9872918725013733,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.2310386747121811,0.3918802738189697,0.32390445470809937,-0.652542769908905,0.9677848219871521,0.41227734088897705,0.44667690992355347,0.20678600668907166,0.9994572401046753,0.29204362630844116,0.4692329466342926,-0.20762494206428528,0.99971604347229,0.6942660212516785,0.414176881313324,-0.2603451609611511,0.875053346157074,0.36183983087539673,0.6760132312774658,-0.2342563271522522,0.9879854321479797,0.7566966414451599,0.6362239122390747,9.887514170259237e-05,0.7909369468688965,0.31983742117881775,0.9087259769439697,-0.20812225341796875,0.9867057800292969
9,0.4049699306488037,0.13195572793483734,-0.20923708379268646,0.9971334934234619,0.4180813729763031,0.21305334568023682,0.28521937131881714,0.999780535697937,0.2043977528810501,0.21349219977855682,-0.2155400514602661,0.999920129776001,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.17820805311203003,0.1844089776277542,0.3365252912044525,-0.4306313395500183,0.9862654805183411,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.27789339423179626,0.3866191804409027,0.3271310329437256,-0.6234790682792664,0.9677269458770752,0.42728403210639954,0.44254910945892334,0.18499527871608734,0.9995036125183105,0.2979249358177185,0.4675731360912323,-0.18589115142822266,0.999738872051239,0.6892985701560974,0.4030979573726654,-0.3524104356765747,0.8864746689796448,0.3605762720108032,0.6756213903427124,-0.15525071322917938,0.9885579347610474,0.7516188025474548,0.6246494054794312,-0.07825418561697006,0.8086787462234497,0.32044896483421326,0.9084932208061218,-0.06224862486124039,0.9873495697975159
10,0.4261482357978821,0.1349557787179947,-0.3016130328178406,0.9973666667938232,0.4449237287044525,0.2124953269958496,0.2982535660266876,0.999794602394104,0.20994122326374054,0.21614070236682892,-0.26909980177879333,0.9999260902404785,0.6136859059333801,0.3309670686721802,-0.3544989228248596,0.2148021161556244,0.17586824297904968,0.3417775630950928,-0.5087645649909973,0.9869970083236694,0.6544486880302429,0.32233214378356934,-0.6929903030395508,0.3197626769542694,0.38421177864074707,0.3257785737514496,-0.7572717070579529,0.9703392386436462,0.4573862850666046,0.4394109845161438,0.19761213660240173,0.9995428919792175,0.326336532831192,0.46779903769493103,-0.19846691191196442,0.9997588992118835,0.719356119632721,0.38994884490966797,-0.45976167917251587,0.8972092866897583,0.3832959830760956,0.6779151558876038,-0.17520932853221893,0.9893267154693604,0.7615523338317871,0.6180662512779236,-0.10646744072437286,0.8254529237747192,0.341287225484848,0.9090391397476196,-0.0933864489197731,0.9882839322090149
