frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.6436446905136108,0.22468915581703186,-0.524204671382904,0.9988110661506653,0.6546221971511841,0.2706662118434906,-0.2587720453739166,0.9999440908432007,0.4265296161174774,0.3225792646408081,-0.504854142665863,0.9999204874038696,0.7932659387588501,0.281782865524292,-0.17555683851242065,0.6954253315925598,0.27037858963012695,0.46159300208091736,-0.5518951416015625,0.9777956008911133,0.9154122471809387,0.29981398582458496,-0.2580520510673523,0.7569397687911987,0.1220070943236351,0.5687894821166992,-0.5748401880264282,0.954357385635376,0.4150078594684601,0.5269296765327454,0.1388009786605835,0.9998420476913452,0.29756301641464233,0.5387516617774963,-0.13907575607299805,0.9998423457145691,0.6160749197006226,0.6200606226921082,-0.09185437113046646,0.7407513856887817,0.4523538053035736,0.6781364679336548,-0.3823109269142151,0.9390621781349182,0.6645233035087585,0.8337846994400024,-0.006049257703125477,0.7539241909980774,0.3284488320350647,0.894000232219696,-0.2225366234779358,0.9264782667160034
1,0.644959568977356,0.22020462155342102,-0.5174549221992493,0.9989265203475952,0.6460963487625122,0.2688762843608856,-0.27138030529022217,0.9999474883079529,0.43299660086631775,0.320463091135025,-0.5043026208877563,0.9999269843101501,0.7621296048164368,0.279045045375824,-0.19596900045871735,0.7174056172370911,0.2900063991546631,0.44830018281936646,-0.5540378093719482,0.9788334369659424,0.885696530342102,0.3005373477935791,-0.25548404455184937,0.7749022245407104,0.1439950317144394,0.5443328022956848,-0.6167393326759338,0.9574441909790039,0.42546606063842773,0.5254660844802856,0.1305588185787201,0.9998503923416138,0.32135826349258423,0.5340914726257324,-0.13081815838813782,0.99985271692276,0.6260009407997131,0.6259346008300781,-0.04766413941979408,0.7552216649055481,0.4734951853752136,0.6851843595504761,-0.3257506489753723,0.942362904548645,0.6751958131790161,0.8504548072814941,0.029497802257537842,0.7623187899589539,0.3669396936893463,0.9003048539161682,-0.1600726693868637,0.9275049567222595
2,0.6636042594909668,0.22686132788658142,-0.4974694550037384,0.9990285634994507,0.6508733630180359,0.25606146454811096,-0.2746257483959198,0.9999502301216125,0.44776496291160583,0.322582483291626,-0.4962884485721588,0.9999327063560486,0.7643349766731262,0.24185004830360413,-0.18453940749168396,0.7131615281105042,0.27805861830711365,0.3676329553127289,-0.5219174027442932,0.9788617491722107,0.8445340394973755,0.2710537016391754,-0.2862665057182312,0.7635318040847778,0.15517611801624298,0.4929162859916687,-0.5228419899940491,0.9542841911315918,0.4470737874507904,0.5314223766326904,0.1371655911207199,0.9998595118522644,0.3527073264122009,0.5441287159919739,-0.1374499350786209,0.9998634457588196,0.6374773383140564,0.6386764049530029,-0.07181768864393234,0.7692194581031799,0.5154520273208618,0.6981866955757141,-0.3572790026664734,0.945223331451416,0.6713465452194214,0.8440579175949097,0.03227299079298973,0.7698028683662415,0.39514777064323425,0.9122111797332764,-0.19364270567893982,0.9282933473587036
3,0.6681013703346252,0.2259000688791275,-0.4345777630805969,0.9991204738616943,0.6435433030128479,0.25219959020614624,-0.1326504796743393,0.9999523758888245,0.44894343614578247,0.3074644207954407,-0.4092472791671753,0.9999377131462097,0.7265427708625793,0.2550426125526428,0.10559070855379105,0.694419801235199,0.2768988609313965,0.3288000524044037,-0.39044639468193054,0.9784433841705322,0.8336167931556702,0.26072898507118225,0.225153386592865,0.7342242002487183,0.16453367471694946,0.46800562739372253,-0.32485195994377136,0.9457902908325195,0.45479387044906616,0.5308488011360168,0.14152903854846954,0.9998635053634644,0.35349422693252563,0.5479005575180054,-0.14187128841876984,0.9998689293861389,0.6442228555679321,0.6487180590629578,-0.1309351772069931,0.7852687239646912,0.534342885017395,0.6993969082832336,-0.38210463523864746,0.9485238790512085,0.6836748123168945,0.8621957898139954,-0.061790913343429565,0.781282365322113,0.4008033275604248,0.9122595191001892,-0.21089625358581543,0.9312378764152527
4,0.6744935512542725,0.2203979343175888,-0.4824827313423157,0.999151885509491,0.7059154510498047,0.25325092673301697,-0.10189352929592133,0.9999547600746155,0.4911271035671234,0.2626587748527527,-0.38976794481277466,0.9999217391014099,0.8016304969787598,0.2784020006656647,-0.0361151248216629,0.7121094465255737,0.2739742696285248,0.2802061438560486,-0.3636692464351654,0.9564880728721619,0.8189967274665833,0.31559643149375916,-0.4366472363471985,0.7466270923614502,0.18465176224708557,0.4144236147403717,-0.2889530062675476,0.8769074082374573,0.4928134083747864,0.5472142100334167,0.1623397320508957,0.9998462796211243,0.3737381398677826,0.5460982322692871,-0.1628502905368805,0.9998169541358948,0.7255870699882507,0.6466860771179199,-0.19548317790031433,0.7834069132804871,0.5575780272483826,0.706996500492096,-0.5582876801490784,0.9368996024131775,0.7304930686950684,0.8727514147758484,-0.26359671354293823,0.776677668094635,0.4227840006351471,0.9187759757041931,-0.3505472242832184,0.8979018330574036
5,0.6240663528442383,0.18329277634620667,0.04450296238064766,0.9991562366485596,0.5722584128379822,0.25662165880203247,0.24959053099155426,0.9999372363090515,0.5949369072914124,0.2634393870830536,-0.26518315076828003,0.9999186396598816,0.5686004757881165,0.3671136200428009,0.4297938346862793,0.6415059566497803,0.48595136404037476,0.3235338032245636,-0.6480485200881958,0.8840829133987427,0.6153879165649414,0.3262971341609955,0.538435697555542,0.6729982495307922,0.3661390542984009,0.270476758480072,-0.9610666036605835,0.8125845193862915,0.44961631298065186,0.5612890720367432,0.20423336327075958,0.9998530745506287,0.470389723777771,0.5860691666603088,-0.20469556748867035,0.9998301863670349,0.6929491758346558,0.6862552165985107,0.29799985885620117,0.7164931893348694,0.7076409459114075,0.7147112488746643,-0.5074254870414734,0.9293799996376038,0.7292703986167908,0.8980258107185364,-0.08143248409032822,0.7607612013816833,0.5362866520881653,0.8984083533287048,-0.9737597703933716,0.9046168923377991
6,0.5948479771614075,0.18872331082820892,0.9980104565620422,0.9988923668861389,0.37731143832206726,0.30474090576171875,0.7107133269309998,0.9999258518218994,0.6536120176315308,0.2665339410305023,0.16270355880260468,0.999916672706604,0.25361087918281555,0.39403554797172546,0.5506794452667236,0.5776791572570801,0.6071145534515381,0.24430598318576813,-0.6698105335235596,0.8068156838417053,0.41209420561790466,0.4625982344150543,0.5076632499694824,0.6061961650848389,0.5538812875747681,0.15404172241687775,-1.236901044845581,0.7650793194770813,0.4161933958530426,0.5900139212608337,0.21070292592048645,0.9998643398284912,0.5869479179382324,0.5949481129646301,-0.2120937556028366,0.9998455047607422,0.6505833268165588,0.742030143737793,0.16339848935604095,0.6511443853378296,0.7159040570259094,0.7415136098861694,-0.344346821308136,0.8783758282661438,0.6966402530670166,0.9102209806442261,-0.7508926391601562,0.7453715801239014,0.5641744136810303,0.867638349533081,-1.3216261863708496,0.8959712982177734
7,0.6246240735054016,0.199749156832695,0.7358835935592651,0.9958986639976501,0.3765369653701782,0.31535521149635315,0.7314440608024597,0.9998437166213989,0.6298605799674988,0.2679499089717865,-0.1259067952632904,0.9998752474784851,0.2723880708217621,0.4116819202899933,0.6755761504173279,0.5200515985488892,0.5841162800788879,0.22576099634170532,-1.125006079673767,0.7468482255935669,0.4248538613319397,0.48729461431503296,0.6687095761299133,0.5457381010055542,0.5885871052742004,0.13182048499584198,-1.8562830686569214,0.7242763638496399,0.4261504113674164,0.6029855608940125,0.2731403410434723,0.9998671412467957,0.615306556224823,0.5983278155326843,-0.27464187145233154,0.9998548626899719,0.633980929851532,0.7480596303939819,0.23537829518318176,0.5891478061676025,0.6986016035079956,0.7423944473266602,-0.4852920174598694,0.835496723651886,0.6726390719413757,0.9063097834587097,-0.5157210230827332,0.7167460918426514,0.5343554615974426,0.8684129118919373,-1.5596073865890503,0.8934062123298645
8,0.4435567259788513,0.18533872067928314,0.599723756313324,0.99266517162323,0.2802909016609192,0.3289340138435364,0.2751045227050781,0.9998324513435364,0.6185465455055237,0.26276111602783203,-0.19188180565834045,0.9998155832290649,0.3631920195448801,0.42319301545151966,0.786815718203053,0.4775114357471466,0.8057538866996765,0.2056250125169754,-0.5778287649154663,0.7616268992424011,0.48143602270921765,0.4704741861537487,0.8490984158080264,0.4931710362434387,0.5948604345321655,0.18429473042488098,-0.5509852170944214,0.6539306640625,0.40163296461105347,0.6068593263626099,0.16101284325122833,0.9998742938041687,0.5851489305496216,0.5962651371955872,-0.1624564826488495,0.9998632073402405,0.5866957902908325,0.7907703518867493,0.17583557963371277,0.5322596430778503,0.682766318321228,0.7897497415542603,-0.2609342038631439,0.7914241552352905,0.6109585165977478,0.9029643535614014,-0.5658878684043884,0.6676403880119324,0.4750020503997803,0.8491044044494629,-1.2926480770111084,0.863149106502533
9,0.4282294511795044,0.17946793138980865,0.8706952929496765,0.9803967475891113,0.26270315051078796,0.3326145112514496,0.27361080050468445,0.9998340606689453,0.629645824432373,0.26011794805526733,-0.005019255913794041,0.9998034238815308,0.4338464887676343,0.4240906124127889,0.837026971622897,0.44860389828681946,0.8176736235618591,0.212385356426239,-0.23175974190235138,0.7835050225257874,0.524800225546042,0.45184111250525183,0.8728332508894504,0.4467748701572418,0.6507794857025146,0.18007521331310272,-0.02545781247317791,0.5996689796447754,0.38959768414497375,0.601252019405365,0.13225829601287842,0.999884843826294,0.591853678226471,0.5947462916374207,-0.1336962878704071,0.9998753070831299,0.5364854615340375,0.8247955926664331,0.07633838913668116,0.4804987609386444,0.6703386902809143,0.7965347170829773,-0.23637855052947998,0.774817943572998,0.5960274934768677,0.8898152112960815,-0.40496107935905457,0.6263247132301331,0.458528071641922,0.8423864841461182,-1.1464083194732666,0.848851203918457
