frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.6003231406211853,0.14550039172172546,-0.7823870182037354,0.998878538608551,0.6061131358146667,0.24493344128131866,-0.02761508710682392,0.9998530745506287,0.34677937626838684,0.24223266541957855,-0.8247746825218201,0.9998658299446106,0.7268138527870178,0.3282836079597473,-0.0875750482082367,0.3878965973854065,0.20233404636383057,0.3597109615802765,-0.9738835692405701,0.952143132686615,0.8076457977294922,0.3829757869243622,-0.8334508538246155,0.46942469477653503,0.39854758977890015,0.43040743470191956,-1.1545273065567017,0.8648907542228699,0.4354622960090637,0.492003470659256,0.31403499841690063,0.9999169111251831,0.2752867639064789,0.5034753084182739,-0.3139003813266754,0.999915599822998,0.6680617928504944,0.5954989790916443,-0.24842914938926697,0.39551636576652527,0.4599507749080658,0.6719759106636047,-0.8000029921531677,0.8001258969306946,0.5937256217002869,0.7961668968200684,0.03419611230492592,0.42019781470298767,0.31899958848953247,0.8793706893920898,-0.5859678983688354,0.7327007055282593
1,0.5863169431686401,0.1451415717601776,-0.8364213705062866,0.99893718957901,0.6104908585548401,0.2461927831172943,-0.019529087468981743,0.9998660683631897,0.34463682770729065,0.244329571723938,-0.7971246838569641,0.9998723268508911,0.7268138527870178,0.3282836079597473,-0.0875750482082367,0.42107248306274414,0.20383206009864807,0.3610582947731018,-1.058583378791809,0.9490808844566345,0.8076457977294922,0.3829757869243622,-0.8334508538246155,0.48895564675331116,0.39456498622894287,0.4336991310119629,-1.4080499410629272,0.8309998512268066,0.4369923174381256,0.492867648601532,0.307538241147995,0.9999188184738159,0.28088799118995667,0.5036155581474304,-0.3074074387550354,0.9999145865440369,0.6680617928504944,0.5954989790916443,-0.24842914938926697,0.4365375339984894,0.47203218936920166,0.6705139875411987,-0.904525637626648,0.8191226124763489,0.5937256217002869,0.7961668968200684,0.03419611230492592,0.46017763018608093,0.3265394866466522,0.8801222443580627,-0.635651171207428,0.7583348155021667
2,0.5675979256629944,0.14693376421928406,-0.7254472374916077,0.9990008473396301,0.6101686358451843,0.2495291531085968,-0.014429640024900436,0.999877393245697,0.3565543591976166,0.2473432868719101,-0.6607488393783569,0.9998816251754761,0.7268138527870178,0.3282836079597473,-0.0875750482082367,0.4637124240398407,0.18513523042201996,0.3613811135292053,-0.9097090363502502,0.9497345089912415,0.8076457977294922,0.3829757869243622,-0.8334508538246155,0.5277577042579651,0.32355719804763794,0.47195741534233093,-1.1178051233291626,0.8321947455406189,0.44144877791404724,0.49588480591773987,0.2717699706554413,0.9999218583106995,0.2872125208377838,0.5085788369178772,-0.2719115614891052,0.9999169707298279,0.6680617928504944,0.5954989790916443,-0.24842914938926697,0.4681567847728729,0.4702264368534088,0.6692919731140137,-0.7873868346214294,0.8344966173171997,0.5937256217002869,0.7961668968200684,0.03419611230492592,0.4925728440284729,0.32930466532707214,0.8803851008415222,-0.5695579648017883,0.7797216773033142
3,0.5710375308990479,0.14780397713184357,-0.6005900502204895,0.9990769624710083,0.596951961517334,0.2516978681087494,-0.09059717506170273,0.9998881816864014,0.35184916853904724,0.25043007731437683,-0.6009759902954102,0.9998914003372192,0.7268138527870178,0.3282836079597473,-0.0875750482082367,0.5110625624656677,0.17555510997772217,0.36188018321990967,-0.7106636166572571,0.9535267949104309,0.8249928951263428,0.4089322090148926,-0.4496682286262512,0.5679293870925903,0.22309981286525726,0.5000855326652527,-0.8625172972679138,0.8408387303352356,0.4442126750946045,0.500305712223053,0.22988393902778625,0.999923586845398,0.30113688111305237,0.5089384317398071,-0.2300373613834381,0.9999184608459473,0.6680617928504944,0.5954989790916443,-0.24842914938926697,0.5107094049453735,0.46566346287727356,0.6653884649276733,-0.7615933418273926,0.8499488234519958,0.5937256217002869,0.7961668968200684,0.03419611230492592,0.5315839052200317,0.3247343599796295,0.8803348541259766,-0.5925775766372681,0.8001575469970703
4,0.5313042402267456,0.16819673776626587,-0.863635778427124,0.9991679191589355,0.5872631669044495,0.24962608516216278,-0.3716711401939392,0.9998988509178162,0.34998610615730286,0.2690856158733368,-0.6709495186805725,0.9998999238014221,0.7310921549797058,0.3106589615345001,-0.389816552400589,0.5595835447311401,0.17352771759033203,0.38013532757759094,-0.7650675177574158,0.9576318860054016,0.8414300680160522,0.4051215946674347,-0.7041739225387573,0.6108574867248535,0.1280907839536667,0.5250988006591797,-0.9402466416358948,0.8546784520149231,0.43483966588974,0.5083507299423218,0.1746634989976883,0.9999210238456726,0.29490259289741516,0.5226476192474365,-0.1749386191368103,0.9999132752418518,0.6333860754966736,0.6006613373756409,-0.16820913553237915,0.5564092397689819,0.4601418673992157,0.6606529951095581,-0.6423560380935669,0.8644578456878662,0.6310331225395203,0.8022554516792297,0.057975128293037415,0.5737956166267395,0.31549370288848877,0.8818264603614807,-0.4853841960430145,0.8188868761062622
5,0.5150705575942993,0.1722811609506607,-0.7025262117385864,0.9992507100105286,0.5547776818275452,0.249299556016922,-0.250399649143219,0.9999088048934937,0.3391585648059845,0.2756386399269104,-0.6243450045585632,0.9999088048934937,0.7013480067253113,0.29969069361686707,-0.1884039342403412,0.6034181714057922,0.17300312221050262,0.3886963725090027,-0.7020497918128967,0.9615885019302368,0.827759861946106,0.40352344512939453,-0.3900517225265503,0.6496450304985046,0.08945872634649277,0.5106281042098999,-0.8642020225524902,0.8667337894439697,0.4123351573944092,0.5144369006156921,0.17546576261520386,0.9999247789382935,0.28416430950164795,0.5263210535049438,-0.17568515241146088,0.9999153017997742,0.6186597943305969,0.6049361228942871,-0.028570206835865974,0.5990606546401978,0.45565009117126465,0.6567729115486145,-0.5831672549247742,0.877859890460968,0.6444238424301147,0.8088381290435791,0.16199730336666107,0.6139833927154541,0.3180176913738251,0.8785409331321716,-0.44618669152259827,0.8365567326545715
6,0.5069436430931091,0.16019263863563538,-0.6241338849067688,0.9993253350257874,0.5420143604278564,0.24462364614009857,-0.1837163120508194,0.99991774559021,0.3296535909175873,0.2763417363166809,-0.5885322690010071,0.9999171495437622,0.6849399209022522,0.29471227526664734,-0.13000273704528809,0.6428042054176331,0.17393292486667633,0.3841758072376251,-0.6810341477394104,0.9652395248413086,0.8126142024993896,0.3913702070713043,-0.31919747591018677,0.6845331192016602,0.09315957874059677,0.504728376865387,-0.8054693937301636,0.8783587217330933,0.40350866317749023,0.5092807412147522,0.17769867181777954,0.9999276399612427,0.2805105149745941,0.5201727151870728,-0.17787691950798035,0.9999167323112488,0.6083855628967285,0.6043877601623535,0.030375324189662933,0.6364104747772217,0.44941234588623047,0.6559093594551086,-0.562219500541687,0.8899145722389221,0.6396188139915466,0.8107137084007263,0.23007488250732422,0.6496991515159607,0.31878629326820374,0.8755372166633606,-0.432532399892807,0.8524634838104248
7,0.5510956645011902,0.16757921874523163,-0.5441628694534302,0.9993926882743835,0.5917821526527405,0.25010111927986145,-0.13450606167316437,0.9999256134033203,0.3974533975124359,0.2800068259239197,-0.4924048185348511,0.9999250173568726,0.7194868922233582,0.27871188521385193,-0.1129508912563324,0.678225576877594,0.23024900257587433,0.38022711873054504,-0.592971682548523,0.9686098694801331,0.86057049036026,0.3108308017253876,-0.24406497180461884,0.7159234285354614,0.1242150366306305,0.4991758465766907,-0.7528298497200012,0.8900706171989441,0.44937369227409363,0.5213233232498169,0.15599730610847473,0.9999281764030457,0.3381947875022888,0.5318886637687683,-0.15626880526542664,0.999917209148407,0.6398769617080688,0.6189514398574829,-0.10813003033399582,0.6704633831977844,0.5122471451759338,0.6618229746818542,-0.4993235170841217,0.9003170132637024,0.7133758664131165,0.833232045173645,-0.045872271060943604,0.6812157034873962,0.3729840815067291,0.8741102814674377,-0.32361263036727905,0.8645563721656799
8,0.5872453451156616,0.1675831526517868,-0.28261107206344604,0.9994532465934753,0.6012455224990845,0.25332900881767273,0.009757746942341328,0.9999327063560486,0.42042112350463867,0.2812647521495819,-0.3421538472175598,0.9999322295188904,0.7313152551651001,0.2790957987308502,0.06871157139539719,0.7099828720092773,0.2614080011844635,0.37282130122184753,-0.47160959243774414,0.9716464877128601,0.8611752986907959,0.303672730922699,-0.08405807614326477,0.7440875768661499,0.14616139233112335,0.496914803981781,-0.6654614210128784,0.9005450010299683,0.4738411009311676,0.5268809795379639,0.15258049964904785,0.9999318718910217,0.3699606657028198,0.534396767616272,-0.1528402864933014,0.999921441078186,0.6605718731880188,0.6230071783065796,-0.14545224606990814,0.7018554210662842,0.5423358082771301,0.6595518589019775,-0.5095702409744263,0.9099483489990234,0.7355865240097046,0.8380138874053955,-0.06159070506691933,0.7109862565994263,0.40898236632347107,0.8713891506195068,-0.3291485905647278,0.8768499493598938
9,0.6015521287918091,0.17436622083187103,-0.343686044216156,0.999507486820221,0.6240464448928833,0.25947532057762146,-0.050360988825559616,0.9999387264251709,0.42341500520706177,0.2864169180393219,-0.3487168550491333,0.9999379515647888,0.7411951422691345,0.26460349559783936,-0.1989564150571823,0.737673819065094,0.2623163163661957,0.36538541316986084,-0.46227091550827026,0.973900556564331,0.8505696654319763,0.2579314410686493,-0.5785550475120544,0.7686548829078674,0.153771311044693,0.48488926887512207,-0.6393765211105347,0.9081700444221497,0.4974070191383362,0.5343436002731323,0.1372232884168625,0.9999303817749023,0.3849693536758423,0.5422491431236267,-0.13755765557289124,0.9999193549156189,0.6749042272567749,0.6315537691116333,-0.1767265349626541,0.7267369627952576,0.5578864216804504,0.6637579202651978,-0.5302966237068176,0.9171526432037354,0.7413758039474487,0.8448190093040466,-0.08161849528551102,0.7313833832740784,0.4290410876274109,0.8740656971931458,-0.3349699079990387,0.8824376463890076
