frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.5697700381278992,0.14921730756759644,-0.1784709244966507,0.994872510433197,0.49884071946144104,0.23471467196941376,0.411975234746933,0.9998963475227356,0.3515333831310272,0.23011687397956848,-0.5482156276702881,0.9990746974945068,0.6383445858955383,0.3142603933811188,0.37245139479637146,0.6862025856971741,0.2396438866853714,0.38119444251060486,-1.0508359670639038,0.4135202169418335,,,,0.3357045352458954,,,,0.10801868140697479,0.47601357102394104,0.47366979718208313,0.31301409006118774,0.999795138835907,0.3369538486003876,0.4886142313480377,-0.3135688602924347,0.9996236562728882,0.7145909667015076,0.4684911370277405,-0.043920475989580154,0.7768239378929138,0.3929903209209442,0.6731708645820618,-0.46155408024787903,0.6305667161941528,0.57256680727005,0.6572908759117126,0.24769167602062225,0.8375886678695679,0.3356189727783203,0.8796459436416626,-0.559776246547699,0.7095614671707153
1,0.5634754300117493,0.1529415398836136,-0.25505363941192627,0.9952653050422668,0.5359708070755005,0.2311251014471054,0.4385868012905121,0.9998950958251953,0.32668402791023254,0.22913430631160736,-0.604669451713562,0.9991616010665894,0.6465960741043091,0.3078388273715973,0.2795238792896271,0.6330662965774536,0.2396438866853714,0.38119444251060486,-1.0508359670639038,0.4703803062438965,,,,0.32738035917282104,,,,0.1922457218170166,0.46963194012641907,0.4677194654941559,0.34960803389549255,0.9998103380203247,0.31186923384666443,0.4838586449623108,-0.3500857353210449,0.9996577501296997,0.7414659857749939,0.4516075551509857,-0.18681421875953674,0.7952070832252502,0.3773479461669922,0.6676111221313477,-0.5862194299697876,0.6672611832618713,0.5883532762527466,0.6463056206703186,0.14566226303577423,0.8421148657798767,0.323381632566452,0.8714547753334045,-0.631943941116333,0.7382853031158447
2,0.459537535905838,0.19591368734836578,-0.5201814770698547,0.9957367777824402,0.4747317135334015,0.2534720301628113,0.11195962131023407,0.9999032616615295,0.30484285950660706,0.26734331250190735,-0.7538804411888123,0.9992445111274719,0.6370086669921875,0.28173744678497314,0.19106286764144897,0.6681424975395203,0.2396438866853714,0.38119444251060486,-1.0508359670639038,0.5233102440834045,,,,0.393905907869339,,,,0.2729613482952118,0.36321818828582764,0.5014681816101074,0.25515124201774597,0.9998254776000977,0.2520023286342621,0.523331344127655,-0.2560533881187439,0.9996877908706665,0.5709783434867859,0.6125246286392212,0.028055895119905472,0.8155437707901001,0.35102537274360657,0.6716985106468201,-0.4770030677318573,0.7004883289337158,0.8002585172653198,0.8145147562026978,-0.07722744345664978,0.8578603863716125,0.25851839780807495,0.88797527551651,-0.4910459518432617,0.7644124627113342
3,0.5010396242141724,0.20669054985046387,-0.5407297611236572,0.996128499507904,0.5303624272346497,0.24698461592197418,0.06066831573843956,0.9998987317085266,0.3337266743183136,0.28661438822746277,-0.38034868240356445,0.9993115663528442,0.6824403405189514,0.2031536102294922,0.07364949584007263,0.6928683519363403,0.22252966463565826,0.395107239484787,-0.4480730891227722,0.5669397115707397,,,,0.42123737931251526,,,,0.3401915431022644,0.3905709981918335,0.5502257347106934,0.1897716522216797,0.9998102188110352,0.27002719044685364,0.5537509322166443,-0.19042712450027466,0.9996821880340576,0.5880934596061707,0.6574234962463379,-0.24402901530265808,0.829163134098053,0.3353550434112549,0.6468186378479004,-0.668425440788269,0.7284076809883118,0.7193681001663208,0.8361120820045471,-0.23527458310127258,0.866843044757843,0.296314537525177,0.8743879795074463,-0.4887620806694031,0.7805168628692627
4,0.5430116057395935,0.20850905776023865,-0.3886750042438507,0.9963414669036865,0.5536108613014221,0.24744781851768494,0.05260198190808296,0.9998788833618164,0.3552275002002716,0.2897951602935791,-0.3293435275554657,0.9993541836738586,0.6870906352996826,0.171111062169075,0.046104468405246735,0.6720937490463257,0.22896282374858856,0.35493648052215576,-0.4027717709541321,0.5841971635818481,,,,0.40770527720451355,,,,0.3617987334728241,0.4317837357521057,0.5583553314208984,0.1794009506702423,0.9997454285621643,0.30857765674591064,0.5629264116287231,-0.17997950315475464,0.999612033367157,0.6207330226898193,0.6551458835601807,-0.07854749262332916,0.7816516160964966,0.4643864035606384,0.6569275259971619,-0.5548214316368103,0.7227731347084045,0.6986666321754456,0.8328792452812195,-0.07589451968669891,0.8299705982208252,0.3328161835670471,0.864853024482727,-0.34725651144981384,0.7590867280960083
5,0.5652512311935425,0.20748919248580933,-0.44440963864326477,0.9965667128562927,0.5887899994850159,0.2343904972076416,-0.001574183814227581,0.999853253364563,0.36234667897224426,0.2785351872444153,-0.36109763383865356,0.9993959665298462,0.7450234889984131,0.17086151242256165,-0.10160259902477264,0.6704830527305603,0.23358087241649628,0.3531958758831024,-0.4468227028846741,0.6111233234405518,,,,0.3842579126358032,,,,0.3943233788013458,0.4477517604827881,0.5576992034912109,0.174020454287529,0.9996402859687805,0.325880229473114,0.5590519309043884,-0.17455433309078217,0.9995173215866089,0.6366552710533142,0.6489505767822266,-0.05998245254158974,0.7510069012641907,0.5088843107223511,0.652745246887207,-0.5522615909576416,0.7300087213516235,0.7138228416442871,0.8324621915817261,-0.004781453870236874,0.8042586445808411,0.35055410861968994,0.8625616431236267,-0.341807097196579,0.7523205876350403
6,0.5628013014793396,0.19806930422782898,-0.42504340410232544,0.9968346953392029,0.590537965297699,0.2288346290588379,0.00875281821936369,0.9998377561569214,0.37025943398475647,0.2736537456512451,-0.3340832591056824,0.9994379281997681,0.7632566690444946,0.16626212000846863,-0.11954212933778763,0.6794272661209106,0.243681401014328,0.340746134519577,-0.4370245933532715,0.6359097957611084,,,,0.37111636996269226,,,,0.426687091588974,0.45404672622680664,0.5581889748573303,0.17584176361560822,0.9996036887168884,0.3349474370479584,0.5571480989456177,-0.1763332635164261,0.9994919300079346,0.6466741561889648,0.64568030834198,-0.05229693278670311,0.7303768396377563,0.5253783464431763,0.6509323716163635,-0.5668700337409973,0.744230329990387,0.7248311042785645,0.8322928547859192,0.03665749356150627,0.7897142767906189,0.35902827978134155,0.8626730442047119,-0.34510180354118347,0.7547354102134705
7,0.5513920783996582,0.16912440955638885,0.21977637708187103,0.996978223323822,0.38716253638267517,0.23677116632461548,-0.019804835319519043,0.99976646900177,0.5938818454742432,0.25730615854263306,-0.23813292384147644,0.9994518756866455,0.2528277337551117,0.22228875756263733,0.22917646169662476,0.626461386680603,0.6724815368652344,0.1937265247106552,-0.06753724068403244,0.6015945672988892,,,,0.3377894163131714,,,,0.38850268721580505,0.4648514986038208,0.556689977645874,0.10367884486913681,0.9996162056922913,0.4918788969516754,0.571027934551239,-0.10465963929891586,0.9995260834693909,0.7201217412948608,0.6649659872055054,0.5852574110031128,0.6872596144676208,0.6126747727394104,0.6524126529693604,0.2951227128505707,0.7347421050071716,0.7758404612541199,0.8476002812385559,0.8164348602294922,0.7880156636238098,0.42916250228881836,0.8586094975471497,0.47605419158935547,0.7652249932289124
8,0.5537786483764648,0.16633981466293335,0.19281992316246033,0.9970170259475708,0.4661758840084076,0.24073809385299683,-0.030494915321469307,0.9997132420539856,0.6884174942970276,0.2620452642440796,-0.19474440813064575,0.999355673789978,0.24551917612552643,0.23998571932315826,-0.2031448781490326,0.5654626488685608,0.6335414052009583,0.27464115619659424,-0.5061637163162231,0.5417149066925049,,,,0.30526208877563477,,,,0.3498339056968689,0.5144503712654114,0.5761565566062927,0.1184961274266243,0.9996459484100342,0.6019508242607117,0.5890218615531921,-0.11963755637407303,0.9995673894882202,0.6131312847137451,0.6816673278808594,0.023413239046931267,0.620342493057251,0.6781505346298218,0.6875491142272949,-0.6312437057495117,0.6805658340454102,0.6359713673591614,0.8236983418464661,-0.817088782787323,0.7177472710609436,0.5970631241798401,0.8443463444709778,-2.1263418197631836,0.7270586490631104
9,0.4289044737815857,0.19140441715717316,1.2964667081832886,0.9967174530029297,0.4007819592952728,0.264578640460968,0.7370429039001465,0.9997110962867737,0.6513685584068298,0.28731682896614075,0.5247396230697632,0.9994028210639954,0.2623600661754608,0.2504182755947113,0.6832044124603271,0.5256662368774414,0.6335414052009583,0.27464115619659424,-0.5061637163162231,0.49342456459999084,,,,0.30307966470718384,,,,0.35100388526916504,0.438798725605011,0.5892044901847839,0.13748174905776978,0.999671459197998,0.6825660467147827,0.5983577370643616,-0.13903920352458954,0.9996044039726257,0.42573776841163635,0.7300002574920654,0.14498181641101837,0.5696747303009033,0.7393013834953308,0.7679526805877686,-0.24654608964920044,0.6999720335006714,0.6034911870956421,0.8214579224586487,-0.6490789651870728,0.6925105452537537,0.647304356098175,0.845273494720459,-1.4957456588745117,0.7463005185127258
