frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.5424298048019409,0.09865397214889526,-0.5962828397750854,0.9964713454246521,0.4916064739227295,0.1725435107946396,0.16955304145812988,0.9997721910476685,0.26444289088249207,0.1891764998435974,-0.7866922616958618,0.9995325803756714,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.23735667765140533,0.22116325795650482,0.3474676012992859,-0.7341668605804443,0.9832682013511658,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.4060077965259552,0.5028475522994995,0.32971012592315674,-0.5288593173027039,0.9717316031455994,0.46844932436943054,0.4416123330593109,0.3158872127532959,0.9995479583740234,0.30945542454719543,0.4603783190250397,-0.31641507148742676,0.9996206760406494,0.797062337398529,0.5666413903236389,-0.09282262623310089,0.5828643441200256,0.3752624988555908,0.6653143167495728,-0.3151680529117584,0.9122596979141235,0.6745728850364685,0.7660924196243286,0.32621142268180847,0.6377708911895752,0.2854025065898895,0.863319456577301,-0.06352116167545319,0.8880777955055237
1,0.5299400091171265,0.09904135018587112,-0.6763427257537842,0.9965093731880188,0.483428418636322,0.1730874478816986,0.07865826785564423,0.9997797608375549,0.25578534603118896,0.191816046833992,-0.8077683448791504,0.9995517730712891,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.24471217393875122,0.21929149329662323,0.35425373911857605,-0.7722979784011841,0.9837967157363892,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.4098879098892212,0.4959859251976013,0.328998327255249,-0.5849789381027222,0.9644067883491516,0.45769748091697693,0.4419667720794678,0.30690798163414,0.9995542168617249,0.30104032158851624,0.4619816839694977,-0.3074553906917572,0.9996184706687927,0.797805666923523,0.5306608080863953,-0.2218383550643921,0.620940089225769,0.36523887515068054,0.6655062437057495,-0.35897096991539,0.9203198552131653,0.688249945640564,0.7388293743133545,0.27377498149871826,0.6672254800796509,0.2799806296825409,0.8643438816070557,-0.13828973472118378,0.8984896540641785
2,0.5261319279670715,0.10330795496702194,-0.5579763054847717,0.9963610172271729,0.47789275646209717,0.1742938756942749,0.1129193976521492,0.9997879862785339,0.24974220991134644,0.19259260594844818,-0.6973646283149719,0.9995766878128052,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.2454843819141388,0.22314538061618805,0.35646986961364746,-0.5793106555938721,0.9841734766960144,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.40915945172309875,0.49229782819747925,0.3197171092033386,-0.24926865100860596,0.958624005317688,0.45176076889038086,0.4399489164352417,0.2969192564487457,0.9995685815811157,0.2953862249851227,0.46238332986831665,-0.29749202728271484,0.9996283650398254,0.8052614331245422,0.4965614974498749,-0.2995218336582184,0.6543425917625427,0.3568110466003418,0.6648411154747009,-0.32378706336021423,0.9274923801422119,0.7059508562088013,0.7071231603622437,0.17040348052978516,0.6889418363571167,0.2745310962200165,0.8661914467811584,-0.1294902265071869,0.9077897071838379
3,0.5234411358833313,0.10655270516872406,-0.5293458104133606,0.9961735606193542,0.4679059684276581,0.180450439453125,0.12377149611711502,0.9997870326042175,0.24723336100578308,0.19425861537456512,-0.7035245299339294,0.9996064305305481,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.23270125687122345,0.22947277128696442,0.3607710599899292,-0.589703381061554,0.9850959181785583,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.3846983313560486,0.49466919898986816,0.3143676221370697,-0.21410630643367767,0.9588372707366943,0.44568103551864624,0.44037359952926636,0.29444077610969543,0.9995803833007812,0.29879090189933777,0.4638003408908844,-0.29501938819885254,0.9996443390846252,0.7924532890319824,0.45465677976608276,-0.35932716727256775,0.6858395934104919,0.3508610725402832,0.6646925210952759,-0.30144813656806946,0.9342892169952393,0.7200763821601868,0.6710608601570129,0.080595463514328,0.7102894186973572,0.2716425359249115,0.8699741959571838,-0.12921325862407684,0.9165270924568176
4,0.5208621025085449,0.11083211749792099,-0.4812936782836914,0.9960708618164062,0.4636583626270294,0.18055680394172668,0.14747978746891022,0.9997907280921936,0.24620552361011505,0.1948448270559311,-0.6796532869338989,0.9996340870857239,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.22173768281936646,0.22973401844501495,0.36219796538352966,-0.5521805286407471,0.9857701659202576,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.3637995421886444,0.49231481552124023,0.31020841002464294,-0.1460225135087967,0.9576128125190735,0.44325339794158936,0.44004330039024353,0.2940481901168823,0.9995989203453064,0.3019953668117523,0.4638112485408783,-0.2946167290210724,0.9996631145477295,0.788373589515686,0.45172208547592163,-0.31558555364608765,0.7136309742927551,0.34901392459869385,0.6636123657226562,-0.29913681745529175,0.9404450058937073,0.7218167781829834,0.6699787974357605,0.0756625384092331,0.7291791439056396,0.27086907625198364,0.8707989454269409,-0.14144179224967957,0.9244328141212463
5,0.5394189953804016,0.11025703698396683,-0.40188679099082947,0.9956101775169373,0.4990420639514923,0.18363307416439056,0.2552350163459778,0.9997949600219727,0.2541033625602722,0.1976967304944992,-0.583400547504425,0.9996568560600281,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.21228435635566711,0.24183039367198944,0.3606395423412323,-0.47171422839164734,0.9847521185874939,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.3471895158290863,0.5031851530075073,0.30644336342811584,-0.09096479415893555,0.9501495957374573,0.45923373103141785,0.43481406569480896,0.3022597134113312,0.99962317943573,0.3105947971343994,0.4613271653652191,-0.3029255270957947,0.9996854066848755,0.7732306122779846,0.3689027726650238,-0.32734695076942444,0.7374497652053833,0.35906824469566345,0.6567917466163635,-0.29108014702796936,0.9459862112998962,0.7284421920776367,0.5828199982643127,0.08215928822755814,0.74676913022995,0.2792031764984131,0.8670005798339844,-0.142624169588089,0.9316208958625793
6,0.5483272671699524,0.11332202702760696,-0.3567303717136383,0.9952889680862427,0.5010780692100525,0.18563823401927948,0.29180437326431274,0.9998023509979248,0.26187366247177124,0.20052066445350647,-0.5886303186416626,0.9996778964996338,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.20222198963165283,0.2539103329181671,0.3599224388599396,-0.4655170440673828,0.9829018712043762,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.3313821852207184,0.5079405903816223,0.3030085265636444,-0.03856582194566727,0.9388092756271362,0.4638133645057678,0.4334324598312378,0.30656683444976807,0.9996472597122192,0.3143618404865265,0.4601590633392334,-0.30716246366500854,0.9997068643569946,0.7704112529754639,0.36582985520362854,-0.2580166757106781,0.7568264603614807,0.3641178011894226,0.65327388048172,-0.2967678904533386,0.9509595632553101,0.7354522347450256,0.5769335031509399,0.09291685372591019,0.7600910663604736,0.2834203243255615,0.8650627136230469,-0.1447918564081192,0.9380656480789185
7,0.568881094455719,0.11326698213815689,-0.3851078748703003,0.9943917989730835,0.5254414081573486,0.1882239580154419,0.270718514919281,0.999812126159668,0.27050188183784485,0.2022256702184677,-0.6001271605491638,0.9997001886367798,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.196750208735466,0.26187634468078613,0.35969412326812744,-0.5051866173744202,0.9809362292289734,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.3221200704574585,0.5023520588874817,0.30821850895881653,-0.20215746760368347,0.9342442750930786,0.4830172061920166,0.43289339542388916,0.31568795442581177,0.9996739029884338,0.326253205537796,0.4598347544670105,-0.3163318336009979,0.9997304081916809,0.7908933758735657,0.3672949969768524,-0.250404417514801,0.7717922925949097,0.37725430727005005,0.6508148908615112,-0.40078017115592957,0.9553576111793518,0.7348363399505615,0.5743222832679749,0.18796581029891968,0.7673518657684326,0.2915659248828888,0.8652191758155823,-0.32324039936065674,0.943769633769989
8,0.5754374861717224,0.11330635845661163,-0.38708657026290894,0.9931017160415649,0.5317254662513733,0.18843568861484528,0.2723312973976135,0.9998182058334351,0.2728595733642578,0.20227006077766418,-0.5761265158653259,0.9997190833091736,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.18959836661815643,0.2635971009731293,0.35947924852371216,-0.46815386414527893,0.9794493913650513,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.3099153935909271,0.4880395233631134,0.311184287071228,-0.17279857397079468,0.9315483570098877,0.4898515045642853,0.432805597782135,0.3153972625732422,0.9996972680091858,0.32994940876960754,0.4594727158546448,-0.3160945773124695,0.9997513294219971,0.7983757257461548,0.36564069986343384,-0.24188204109668732,0.7877007722854614,0.3823525905609131,0.6503716111183167,-0.39011305570602417,0.9593243598937988,0.7322245836257935,0.573327898979187,0.1893286257982254,0.7778211832046509,0.2944572865962982,0.8653861284255981,-0.28325608372688293,0.9489516615867615
9,0.5688245892524719,0.1152791827917099,-0.4178217947483063,0.9920833706855774,0.531047523021698,0.1896284520626068,0.27004310488700867,0.9998242855072021,0.2705260217189789,0.2033877819776535,-0.5946108102798462,0.9997376799583435,0.562382161617279,0.15552599728107452,-0.4413732588291168,0.18710769712924957,0.2506091594696045,0.3584478795528412,-0.532127857208252,0.9792672991752625,0.7533650994300842,0.09972106665372849,-0.6686661839485168,0.30267730355262756,0.4714055359363556,0.3134364187717438,-0.24762971699237823,0.9327086806297302,0.4885033667087555,0.43309497833251953,0.31481754779815674,0.9997197389602661,0.3289104700088501,0.4596445560455322,-0.31549012660980225,0.9997711181640625,0.8009924292564392,0.38324567675590515,-0.24303004145622253,0.80501788854599,0.3824440836906433,0.6506035327911377,-0.3824470639228821,0.9630784392356873,0.7244475483894348,0.5889873504638672,0.23421211540699005,0.7883807420730591,0.2915286123752594,0.8655392527580261,-0.26478371024131775,0.953726589679718
